159:0.995988,163:0.995320,187:0.985585,219:0.980503,179:0.967281,102:0.961104,33:0.948586,45:0.869866,9:0.834420,227:0.755700
32:0.987549,65:0.732052,40:0.540733,14:0.427733,119:0.418085,59:0.383905,108:0.211312,39:0.207289,89:0.160624,23:0.147213
90:0.993963,149:0.917658,98:0.511783,81:0.502814,10:0.417614,58:0.283336,31:0.278676,48:0.241872,44:0.221345,27:0.219007
41:0.984276,66:0.960217,9:0.955289,33:0.937288,46:0.890699,49:0.887801,45:0.869774,118:0.820897,16:0.818782,102:0.728566
27:0.742071,98:0.696699,47:0.656189,63:0.405193,81:0.395858,31:0.253805,29:0.190612,92:0.186863,147:0.122963,24:0.083622
48:0.921300,93:0.859866,106:0.712858,80:0.566526,88:0.483091,43:0.412497,30:0.329481,110:0.251060,85:0.215279,102:0.168698
79:0.379508,67:0.256903,97:0.089132,38:0.036485,23:0.019963,114:0.011531,19:0.002802,98:0.002198,59:0.002020,111:0.001454
32:0.890735,74:0.872624,40:0.830922,1:0.674501,119:0.659412,22:0.566114,121:0.257549,31:0.187101,62:0.169178,61:0.164455
18:0.970672,101:0.812944,40:0.672175,96:0.601139,37:0.309878,20:0.219583,91:0.194380,30:0.186570,39:0.171856,88:0.134769
41:0.997484,45:0.993935,115:0.987600,66:0.964612,33:0.934575,3:0.934472,46:0.926974,28:0.884308,16:0.858634,19:0.745470
2:0.976902,90:0.957689,27:0.607411,144:0.366095,63:0.165286,48:0.059336,106:0.053771,89:0.040667,12:0.016572,30:0.016327
52:0.558107,255:0.514897,39:0.333785,68:0.192723,18:0.135578,40:0.056648,96:0.055528,89:0.044597,73:0.028183,61:0.024381
48:0.997655,50:0.992634,30:0.973778,106:0.932477,69:0.913812,53:0.853603,60:0.840499,13:0.760168,44:0.646958,89:0.507869
48:0.997993,24:0.954856,12:0.930918,102:0.847877,30:0.844047,106:0.836888,44:0.777697,39:0.702459,80:0.441418,42:0.346031
117:0.984547,39:0.958606,32:0.734728,40:0.693146,211:0.665127,231:0.648176,1:0.533370,18:0.422805,102:0.265375,59:0.225369
114:0.994821,38:0.949109,59:0.809525,42:0.658685,75:0.068008,143:0.057807,55:0.039703,153:0.030672,83:0.027428,90:0.022039
41:0.983774,66:0.978722,9:0.930288,45:0.927990,98:0.903531,46:0.874073,3:0.847440,91:0.832046,22:0.798785,115:0.614928
84:0.916548,33:0.873054,21:0.853661,82:0.804029,211:0.681569,102:0.663902,37:0.627866,100:0.614723,91:0.497861,41:0.398982
8:0.995663,40:0.558856,39:0.341398,121:0.341071,101:0.204673,211:0.176109,11:0.135172,117:0.039731,14:0.028288,84:0.026248
66:0.956308,34:0.953249,87:0.864710,45:0.811031,33:0.657388,115:0.634893,41:0.530086,81:0.392918,118:0.192027,91:0.113347
57:0.988422,93:0.948649,76:0.946558,30:0.489562,43:0.467947,106:0.377123,85:0.224800,13:0.208644,88:0.188610,48:0.172076
37:0.994437,72:0.942386,17:0.741973,8:0.671554,267:0.469109,211:0.382167,101:0.253575,243:0.193150,84:0.172363,82:0.129721
94:0.569079,46:0.519972,105:0.412625,16:0.402849,40:0.396080,31:0.216899,41:0.176954,125:0.134794,153:0.088809,147:0.043111
39:0.551050,119:0.545989,24:0.471442,32:0.345797,111:0.309356,48:0.241140,42:0.163815,105:0.153463,44:0.152654,53:0.096245
